menus_id,名字,收藏,浏览,工艺,口味,时间,难度,主料,辅料
11730,新年开运菜｜干?大虾, 145 收藏 , 3391 浏览,干煸,咸鲜味,10分钟,未知,"['大虾 10只', '柠檬（腌虾用） 1片', '姜片（腌虾用） 2片', '蒜片（腌虾用） 1瓣', '食盐（腌虾用） 2克', '牛奶（腌虾用） 70克', '小苏打（腌虾用） 1克']","['西芹 1根', '洋葱 15克', '花雕酒 2克', '味达美臻品蚝油 1中勺', '味达美特级生抽 1中勺', '白糖 2克', '清水 适量']"
2182,京酱肉丝, 7 收藏 , 11253 浏览,炒,家常味,5分钟,初级入门,['猪里脊肉 250克'],"['油 1勺', '盐 1小勺', '料酒 1勺', '甜面酱 1勺', '糖 1小勺', '鸡蛋白 1个', '玉米淀粉 1小勺', '黄瓜 1根']"
14662,地三鲜, 42 收藏 , 15512 浏览,炒,其他口味,60分钟,未知,"['尖椒 中等大小 2个', '土豆 中等大小 1个', '茄子(紫皮，长) 中等大小 1根']","['大葱葱白 食指长2段', '姜 1小块', '蒜 3瓣', '盐 1/2茶匙（2.5克）', '糖 1茶匙（5克）', '生抽 1汤匙 （15毫升)', '油 150毫升+3汤匙（45毫升）']"
14747,鹌鹑蛋烧鸡爪, 28 收藏 , 11501 浏览,烧,家常味,30分钟,初中水平,"['鸡爪 350克', '鹌鹑蛋 200克']","['白醋 5毫升', '料酒 30 毫升', '生抽 20毫升', '桂皮 1块', '八角 1个', '蚝油 20毫升', '精盐 2克', '小米椒 2个', '香葱 适量', '食用油 30毫升', '生姜 5克']"
5859,炒素三丝, 450 收藏 , 18538 浏览,炒,其他口味,15分钟,未知,"['土豆 中等大小1个（240克）', '胡萝卜 中等大小半根（75克）', '青椒 中等大小半个（50克）']","['盐 1/2茶匙（2.5克）', '油 2汤匙（30毫升）']"
12684,苋菜疙瘩汤, 211 收藏 , 2476 浏览,煮,家常味,30分钟,未知,"['苋菜 1把', '面粉 100克']","['生姜 5克', '大蒜 3瓣']"
10362,凉拌黄瓜银耳, 508 收藏 , 2329 浏览,拌,酸辣味,5分钟,初级入门,"['银耳 1碗', '黄瓜 2条', '胡萝卜 1/3根']","['大蒜 6瓣', '醋 适量', '酱油 少许', '生抽 适量', '盐 1克', '白糖 5克', '香油 适量']"
13451,滑嫩可口，酸甜不腻，好吃到舔盘——宫保, 131 收藏 , 3450 浏览,炒,家常味,5分钟,新手尝试,"['鸡腿 3个', '花生米 120克', '大葱 1根', '彩椒 1个', '胡萝卜 1个']","['葱姜蒜 适量', '豆瓣酱 20克', '耗油 20克', '生抽 15克', '陈醋 15克', '白糖 20克', '淀粉 适量', '欧丽薇兰橄榄油 适量']"
2065,红苋菜煮面条, 11 收藏 , 6620 浏览,煮,家常味,10分钟,初中水平,"['新鲜面条 200克', '红 苋菜 50克']","['植物油 适量', '盐 适量', '鸡精 1克', '白胡椒粉 1克']"
7398,凉拌西兰花, 2 收藏 , 923 浏览,拌,其它口味,10分钟,新手尝试,"['西兰花 1棵', '新鲜香菇 3个', '胡萝卜 半个']","['六月鲜12克轻盐昆布酱油 1.5汤匙', '芝麻油 1汤匙', '米醋 1汤匙', '玉米油 1汤匙', '盐 2茶匙']"
11502,仿真烤肉, 38 收藏 , 9724 浏览,烤,香辣味,30分钟,新手尝试,['香菇 300克'],"['孜然粉 5克', '花椒粉 5克', '辣椒粉 8克', '白砂糖 5克', '食盐 适量', '植物油 适量', '熟芝麻 适量']"
12286,烤箱版烤羊肉串, 439 收藏 , 9105 浏览,烤,香辣味,30分钟,新手尝试,"['冻羊肉串 1袋', '青椒 1个', '胡萝卜 1根']","['盐 少量', '食用油 少量', '烤翅料 适量']"
14144,蒸鱼糕【孔老师教做菜】, 4 收藏 , 3291 浏览,蒸,家常味,5分钟,新手尝试,"['巴沙鱼120克 120克', '海苔芝麻碎适量 适量', '鸡蛋2个 2个', '胡萝卜半根 半根']","["" king's核桃油 5毫升 5毫升"", '盐适量 适量']"
9906,酸菜炒肉皮, 6 收藏 , 2977 浏览,炒,酸辣味,15分钟,初中水平,"['酸菜 400克', '卤肉皮 200克']","['植物油 适量', '盐 适量', '小米椒 4个', '生抽 5克']"
12021,韭菜炒鸡蛋, 6 收藏 , 3443 浏览,炒,家常味,10分钟,未知,"['菠菜 1把', '鸡蛋 3个']",['大蒜 2个']
6709,萝卜干炒肉皮, 3 收藏 , 2083 浏览,炒,家常味,15分钟,初中水平,"['萝卜干 100克', '卤肉皮 300克']","['植物油 适量', '盐 适量', '姜 5克', '生抽 5克', '青红辣椒 2个']"
1900,蔬菜豆腐煎饼, 182 收藏 , 75362 浏览,煎,家常味,15分钟,新手尝试,"['面粉 130克', '豆腐 200克']","['胡萝卜 30克', '木耳(水发) 35克', '鸡蛋 1个', '食盐 3克', '食油 35克', '芹菜叶 15克', '白胡椒粉 适量']"
3213,电饭煲卤牛腱子, 11 收藏 , 4912 浏览,卤,家常味,数小时,初级入门,['牛腱子 4斤'],"['老抽 少许', '酱油 适量', '盐 10克', '大葱 半棵', '姜 1块', '干红辣椒  4个', '桂皮 2小块', '八角 2颗', '白芷 少许', '砂仁 1颗', '栀子 1颗', '其它卤料 少许']"
1820,#中卓牛骨汤面#｜芝士肉肠炒面, 502 收藏 , 6821 浏览,炒,咸鲜味,30分钟,未知,"['中卓牛骨汤面 1包', '芝士片 2片', '菠菜 2颗', '牛肉肠 1根']","['玉米油 适量', '清水 一小锅']"
8293,腊八蒜, 25 收藏 , 8056 浏览,腌,酸甜味,数天,新手尝试,"['大蒜 300克', '米醋 300克', '白醋 100克']","['白糖 50克', '盐 5克']"
10301,酸豆角炒肉皮, 340 收藏 , 6468 浏览,炒,酸辣味,10分钟,初中水平,"['酸豆角 300克', '卤肉皮 300克', '青红辣椒 2个']","['植物油 适量', '盐 适量', '姜 适量', '味精 1克']"
8519,墨鱼香干芹菜小炒, 9 收藏 , 4715 浏览,炒,咸鲜味,10分钟,未知,"['墨鱼 5个', '香干 4片', '芹菜 200克', '姜 2片', '红椒 1个', '花椒 2克', '鸡精 1克', '生抽 10克', '花生油 30克']","['盐 适量', '葱 少许']"
870,牛肉干, 8 收藏 , 6293 浏览,炒,家常味,15分钟,初级入门,['牛肉 350克'],"['姜片 5克', '食用油 5毫升', '料酒 20克', '茴香 2克', '五香粉 2克', '白糖 35克', '生抽 20克', '盐 8克', '辣椒粉 5克']"
5451,凉拌粉丝, 93 收藏 , 9644 浏览,拌,香辣味,10分钟,新手尝试,"['粉丝 2把', '菠菜 1把', '香菜 5棵', '胡萝卜 1根']","['大蒜 3瓣', '葱末 适量', '生抽 适量', '香醋 适量', '白芝麻 适量', '花椒粒 适量', '辣椒粉 1茶匙', '白糖 适量']"
9943,辣子鸡丁, 0 收藏 , 2955 浏览,炒,香辣味,15分钟,初中水平,['鸡腿肉 680克'],"['干红辣椒 13克', '麻椒 5克', '大蒜 15克', '盐 5克', '生抽 1汤匙', '生姜粉 少许', '玉米油 适量', '料酒 1汤匙', '五香粉 少许', '淀粉 2汤匙']"
7704,烤鸡翅, 37 收藏 , 15814 浏览,烤,香辣味,30分钟,新手尝试,"['鸡翅 10个', '烧烤料 一包']",['蜂蜜 适量']
10541,黄金鸡块——宝宝辅食, 28 收藏 , 7112 浏览,煎,家常味,30分钟,新手尝试,"['鸡胸肉  130克', '鸡蛋 1个', '奶酪  25克']",['淀粉  10克']
12128,鹌鹑蛋煎西葫芦, 8 收藏 , 2801 浏览,煎,家常味,15分钟,未知,"['西葫芦 半根', '鹌鹑蛋 8个', '鸡蛋 1个']",['面粉 少许']
1247,干炸白萝卜丸子, 25 收藏 , 117603 浏览,炸,家常味,30分钟,初中水平,"['猪肉末 400克', '白萝卜 500克']","['鸡蛋 2个', '玉米淀粉 5汤匙', '五香粉 1小勺', '芝麻油 1汤匙', '盐 5克', '姜 1块', '食用油 500克']"
10768,时蔬炒鸡蛋, 5 收藏 , 2694 浏览,炒,咸鲜味,10分钟,新手尝试,"['洋葱 1个', '胡萝卜 1根', '油菜 1棵', '鸡蛋 2个']","['白胡椒粉 少许', '盐 1克', '六月鲜12克轻盐昆布酱油 1勺', '蒜 2瓣']"
9751,青蒜爆糖醋虾, 7092 收藏 , 61352 浏览,爆,酸甜味,10分钟,中级掌勺,"['青蒜 4根', '南北熟对虾 220克']","['食用油 适量', '食盐 1/2小勺', '生粉 1.5小勺', '料酒 1汤匙', '酱油 2汤匙', '白糖 3汤匙', '香醋 4汤匙', '清水 5汤匙']"
14981,大虾粉丝煲, 199 收藏 , 53386 浏览,炖,咸鲜味,5分钟,未知,"['大虾 10只', '粉丝 一把']","['蒜碎 一头', '小米辣 5个', '蚝油 一勺', '生抽 一勺', '姜丝 少许', '花椒 几粒']"
1059,小鸡炖蘑菇, 4 收藏 , 5023 浏览,炖,家常味,2小时,初中水平,"['小笨鸡 1只', '榛蘑 适量', '元蘑 适量', '宽粉条 适量']","['油 适量', '盐 适量', '花椒大料 适量', '葱姜蒜 适量', '香菜 适量', '生抽 适量', '料酒 适量']"
11811,黄瓜炖鸡, 46 收藏 , 29345 浏览,炖,家常味,60分钟,未知,"['笨鸡 一只', '黄瓜 2根']","['生抽 适量', '料酒 适量', '葱姜干辣椒 适量', '辣豆酱香辣酱 各一勺', '盐 少许']"
3846,红烧肉, 3 收藏 , 5827 浏览,炒,家常味,60分钟,未知,['五花肉 750克'],"['白糖 25克', '玉米油 适量', '姜 3片', '干辣椒 2个', '八角 3个', '清水 适量', '盐 1-2勺']"
12993,回锅肉, 8 收藏 , 6901 浏览,炒,家常味,30分钟,未知,"['五花肉 适量', '青椒 1个', '老干妈 适量']","['油盐 适量', '葱姜蒜 适量', '酱油 适量']"
3470,麻辣鸡丝, 105 收藏 , 7966 浏览,炒,麻辣味,30分钟,初中水平,['鸡胸肉 3块'],"['干辣椒 50克', '花椒 30克', '黑胡椒粉 适量', '料酒 15克', '生抽 15克', '蚝油 15克', '食盐 3克', '鸡精 2克', '葱姜蒜 适量', '熟白芝麻 适量']"
9994,干锅春笋, 6 收藏 , 8121 浏览,其它工艺,家常味,15分钟,新手尝试,['五花肉 适量'],"['盐 适量', '花椒 适量']"
4511,豌豆苗炒土鸡蛋, 20 收藏 , 10737 浏览,炒,咸鲜味,5分钟,新手尝试,"['土鸡蛋 4个', '豌豆苗 200克']","['油 2汤匙', '盐 3克']"
5953,干锅兔, 1466 收藏 , 45757 浏览,炒,香辣味,30分钟,初级入门,"['兔子 半只', '尖椒 适量']","['土豆 两个', '魔芋 适量', '黄瓜 两根', '芹菜 一颗', '洋葱 一个', '金针菇 适量', '香菜 二两', '姜蒜末 适量']"
11524,干锅手撕包菜, 493 收藏 , 4077 浏览,干锅,家常味,15分钟,初中水平,"['包菜 300克', '腊肉 100克']","['油 10克', '盐 1克', '生抽 3克', '自制剁椒 10克', '木耳 40克']"
9505,馒头披萨, 9 收藏 , 9752 浏览,煎,家常味,10分钟,新手尝试,"['馒头 4个', '鸡蛋 3个', '熟腊肠 1根', '豌豆 适量', '玉米 适量', '奶酪片 6片']","['香葱 适量', '盐 适量', '食用油 适量']"
6912,青椒炒肉丝, 529 收藏 , 7764 浏览,炒,家常味,5分钟,未知,"['青椒 2根', '肉丝 适量', '酱油 少许', '蒜头 少许', '盐 少许', '鸡汁 少许']",['蚝油 少许']
1899,土豆烧牛肉, 5 收藏 , 5531 浏览,烧,家常味,90分钟,未知,"['牛肉 250克', '土豆 500克']","['八角 两个', '桂皮 一小块', '盐 8克', '味精 适量', '胡椒 适量', '酱油 5克']"
11605,腊味炒兰豆, 93 收藏 , 44906 浏览,炒,家常味,15分钟,初中水平,"['兰豆 500克', '腊肠 100克', '腊肉 100克']","['油 5克', '盐 2克', '蚝油 10克', '姜 10克']"
14947,鱼香茄子糖醋茄子，小美的美食, 542 收藏 , 7218 浏览,炒,酸甜味,10分钟,初级入门,['茄子 1根'],"['豆瓣酱、糖 适量', '油、生粉 适量', '醋、生抽 适量', '蒜、小米椒 适量', '青椒 适量']"
11815,红油荠菜猪肉馄饨, 9 收藏 , 11639 浏览,煮,家常味,15分钟,新手尝试,"['荠菜 150克', '猪肉馅 250克', '红油 1小勺']","['葱 半颗', '生抽 1大勺', '米醋 1小勺', '盐 适量', '白胡椒粉 少许', '五香粉 少许', '虾皮 适量', '紫菜 少许']"
3989,玉子蒸虾仁, 18 收藏 , 5773 浏览,蒸,咸鲜味,10分钟,新手尝试,"['玉子豆腐 两条', '基围虾 八个', '蒜蓉 2克', '芹菜 少许']","['油 20毫升', '酱油 10毫升', '蚝油 5毫升', '盐 2克']"
13019,糯米鸡煲仔饭, 10 收藏 , 7447 浏览,煮,家常味,60分钟,中级掌勺,"['鸡腿 2个', '糯米 150克', '大米 80克']","['玉米油 20克', '料酒 1勺', '红烧酱油 1.5勺', '生抽 2勺', '细砂糖 0.5勺', '淀粉 1勺']"
9325,柠香可乐鸡翅, 0 收藏 , 3455 浏览,烧,酸甜味,30分钟,未知,"['翅中 8个', '柠檬 1个', '老抽 1汤匙', '生抽 2汤匙', '料酒 1汤匙', '可口可乐 1罐', '葱姜蒜 适量']",['盐 少许']
12108,干炸带鱼, 84 收藏 , 8256 浏览,炸,鱼香味,30分钟,未知,['带鱼段 2斤'],"['十三香 少许', '盐 7克', '生抽 适量', '料酒 适量', '面粉 适量']"
14319,芝麻排骨, 16 收藏 , 25910 浏览,煮,家常味,30分钟,新手尝试,"['排骨 350克', '酱油 一大勺', '李锦记排骨酱 一大勺']",['白芝麻 适量']
2014,菠菜炒虾仁, 17 收藏 , 15071 浏览,炒,家常味,10分钟,初级入门,"[' 鲜虾 1盘', '菠菜  1盘']","['淀粉 1小勺', '料酒 1小勺', '油盐 适量 ']"
9538,腌萝卜, 25 收藏 , 4439 浏览,腌,酸甜味,数天,未知,['水果萝卜 2根'],"['生抽 适量', '白醋 适量', '香醋 适量', '盐 适量', '白糖 适量', '蜂蜜 适量', '小米辣 适量', '凉白开 适量']"
5596,虾仁炒发面饼, 5 收藏 , 6934 浏览,炒,家常味,5分钟,初级入门,"['面饼 200克', '虾仁 50克']","['青椒 50克', '胡萝卜 30克', '调和油 10毫升', '生抽 10毫升', '蚝油 5毫升', '葱 30克', '大蒜 20克']"
4787,十分钟就上桌的家常小菜。清脆爽口，莴苣, 0 收藏 , 3224 浏览,炒,家常味,15分钟,未知,"['莴苣 一根', '香肠 两根']","['葱姜 适量', '盐 一勺']"
13553,金针菇培根卷, 10 收藏 , 4916 浏览,烤,其它口味,30分钟,未知,"['金针菇 1包', '培根 4片']","['生抽 10克', '色拉油 3克', '蚝油 5克', '烧烤调料（辣椒粉） 适量', '黑胡椒 少许', '葱花 少许', '牙签 8根']"
10152,梅菜扣肉, 532 收藏 , 5549 浏览,蒸,家常味,30分钟,未知,"['五花肉 半斤', '梅干菜 适量']","['老抽 适量', '生抽 2勺', '姜片 4片', '糖 2勺', '芝麻油 1小勺']"
14718,酸菜鱼片, 24 收藏 , 34555 浏览,煮,酸辣味,15分钟,初级入门,"['草鱼 400克', '酸菜 250克']","['蛋清 1个', '白糖 1茶匙', '盐 适量', '料酒 1汤匙', '胡椒粉 适量', '干淀粉 2茶匙', '郫县豆瓣 1汤匙', '干辣椒 1小把', '花椒 20-30颗', '生姜 1小块', '酱油 1汤匙', '葱 适量', '鸡精 少许']"
10509,葱爆羊肉片, 34 收藏 , 8050 浏览,炒,家常味,10分钟,未知,"['羊肉片 300克', '葱 30克', '姜 3克', '孜然 适量']","['油 0.5勺', '盐 2匙', '味精 0.2匙']"
7615,糖醋排骨, 18 收藏 , 6344 浏览,炒,酸甜味,60分钟,未知,['猪肋排 500克'],"['料酒 1勺', '芝麻 适量', '花生油 500克', '生抽 1勺', '老抽 1/2勺', '淀粉 适量', '冰糖 3勺', '香醋 2勺', '食盐 1/2勺', '鸡精 1/2勺', '小葱 1棵']"
