菜名,工艺,口味,时间,难度,主料,辅料
虾仁荷塘小炒  营养师小菜妈妈,炒,家常味,10分钟,新手尝试,"['荷兰豆 150克', '黑木耳 20克', '莲藕 30克', '虾 4只']",['盐 少量']
暖人心的香肠煲仔饭,砂锅,家常味,15分钟,新手尝试,"['大米 300克', '秋葵 2根', '鸡蛋 1个', '香肠 2根', '白萝卜 三勺']","['胡椒粉 1小勺', '花生油 适量', '酱油 适量', '盐 适量', '酱油 适量', '亚麻籽油 2小勺']"
卤肉饭,炖,家常味,2小时,未知,"['猪肉 一斤左右', '芦笋 200克']","['大蒜 少许', '生姜 三片', '大葱 一个', '八角 一个', '香叶 两片', '冰糖 少许', '酱油 少许', '酱油 少许']"
油炒鸭胗,炒,家常味,15分钟,初中水平,['鸭胗 6个'],"['花生油 10克', '生姜 20克', '大蒜 10克', '盐 1克', '料酒 5克', '蚝油 10克', '豆瓣酱 10克']"
白糖醋豆腐丸子,炸,酸甜味,30分钟,未知,"['豆腐 1块', '胡萝卜 1半根', '香菇 1朵', '火腿 1块', '鸡蛋 1个']","['白糖 1勺', '醋 1勺', '蚝油 适量', '番茄酱 1勺', '大葱 半根', '盐 1勺', '鸡精 1勺', '酱油 1勺', '淀粉 3勺']"
京酱猪肉,炒,酱香味,30分钟,初中水平,['猪肉 200克'],"['豆瓣酱 2勺', '料酒 2茶匙', '大葱 2根', '胡椒粉 1茶匙', '淀粉 适量']"
荷塘小炒,炒,家常味,5分钟,新手尝试,"['莲藕 1节', '黑木耳 80克', '荷兰豆 200克']","['大葱 1段', '大蒜 3瓣', '盐 1勺', '花生油 适量', '酱油 1勺', '鸡精 1小勺', '亚麻籽油 适量']"
菠菜猪肝汤,烧,家常味,5分钟,初级入门,"['猪肝 250克', '菠菜 200克', '猪油 1勺']","['料酒 1勺', '淀粉 1勺', '盐 1点', '鸡精 1点', '生姜 2片']"
家常炖菜,炖,家常味,30分钟,未知,"['猪肉 200克', '娃娃菜 半棵', '粉条 适量', '豆腐干 50克']","['大葱 2棵', '盐 适量', '生姜 3片', '八角 1个', '花椒 20粒', '料酒 1.5勺', '醋 1.5勺', '酱油 1勺', '酱油 1勺']"
西红柿炒鸡蛋,炒,酸甜味,5分钟,未知,"['西红柿 3个', '鸡蛋 2个']","['番茄酱 半勺', '白糖 半勺']"
牛油果酱鸡胸沙拉,拌,其它口味,10分钟,新手尝试,"['牛油果 1只', '柠檬 半只', '香蕉 1只', '牛奶 80克', '盐 1/3茶匙']",['鸡肉 1块']
素炒腐竹,炒,家常味,5分钟,初级入门,"['腐竹 100克', '青椒 50克']","['大葱 适量', '花生油 20克', '盐 5克', '酱油 5克', '蚝油 3克']"
电饭煲焖鸡爪,焖,麻辣味,30分钟,中级掌勺,['鸡爪 12个'],"['花生油 适量', '豆瓣酱 一大勺', '大葱 一根', '生姜 10克', '料酒 10克', '酱油 适量', '八角 1个', '花椒 1克']"
焖黄花鱼,炖,家常味,30分钟,新手尝试,['黄花鱼 500克'],"['花生油 适量', '酱油 2勺', '酱油 1勺', '大葱 20克', '盐 2勺', '料酒 1勺', '桂皮 1块', '香叶 2片', '八角 适量', '花椒 适量']"
香辣小炒肚丝,炒,香辣味,10分钟,新手尝试,"['猪肚 1个', '辣椒 100克', '红椒 2个']","['大葱 5克', '生姜 5克', '蚝油 1汤匙', '酱油 1汤匙', '盐 少许', '花生油 少许']"
宫保鸡丁,炒,香辣味,10分钟,初中水平,['鸡腿 400克'],['花生 80克']
料酒炖猪蹄,炖,家常味,60分钟,初级入门,"['猪蹄 3个', '料酒 2听']","['大葱 半棵', '干辣椒 数个', '生姜 1块', '八角 3个', '花椒 1撮', '桂皮 1块', '盐 适量', '酱油 少许', '冰糖 1大块', '花生油 少许']"
奶香咖喱鸡,炸,奶香味,90分钟,初级入门,"['鸡翅 6个', '西红柿 50克', '生菜 50克']","['牛奶 60只', '淀粉 20克', '鸡蛋 适量', '花生油 适量', '番茄酱 适量', '芥末 适量', '盐 半勺', '胡椒粉 1/4勺', '大葱 1/4勺', '生姜 1/4勺', '大蒜 2颗', '咖喱 适量', '面包 60克']"
猪肉生煎包,煎,咸鲜味,90分钟,中级掌勺,"['鸡蛋 1个', '苏打粉 3克', '水 160克', '猪肉 200克', '小麦面粉 300克']","['亚麻籽油 适量', '黑芝麻 少许', '大葱 少许', '白糖 少许', '料酒 适量', '酱油 1汤匙', '盐 1.5小勺']"
煎明太鱼,煎,咸鲜味,10分钟,未知,['明太鱼 200克'],"['花生油 适量', '豆瓣酱 适量', '料酒 适量', '盐 适量', '酱油 适量']"
泡菜烧鸭血,炒,酸辣味,15分钟,初中水平,"['泡菜 150克', '鸭血 一盒', '粉条 50克']","['花生油 适量', '盐 适量', '生姜 5克', '花椒 1克', '鸡精 1克']"
核桃鸡蛋羹,蒸,家常味,15分钟,新手尝试,"['鸡蛋 2颗', '核桃 30克', '水 200毫升']",['盐 适量']
快手腌笃鲜,烧,咸鲜味,15分钟,初级入门,"['春笋 几只', '腊肉 一块', '白菜 几片']","['生姜 一块', '料酒 一勺']"
快手の猪肉粉丝泡菜,炒,酸辣味,30分钟,未知,"['泡菜 1包', '粉丝 1小把', '辣椒 3根']","['水 300毫升', '酱油 1勺', '生姜 1片', '盐 少许', '料酒 少许']"
韭菜鸡蛋炒粉丝,炒,家常味,10分钟,未知,"['韭菜 1小把', '粉丝 1小把', '鸡蛋 3个']","['酱油 适量', '蚝油 适量', '白糖 适量', '盐 适量']"
地三鲜,炒,咸鲜味,30分钟,初级入门,"['土豆 250克', '茄子 250克', '甜椒 150克']","['花生油 适量', '盐 2克', '酱油 15克', '大葱 1段', '大蒜 适量', '淀粉 适量', '白糖 5克']"
浓郁鲜美的京酱猪肉,炒,咸鲜味,10分钟,初级入门,"['猪肉 400克', '生菜 200克', '大葱 1根', '鸡蛋 1个']","['豆瓣酱 3小勺', '豆瓣酱 2小勺', '料酒 1勺', '花生油 适量', '淀粉 适量', '酱油 1勺', '芝麻 适量']"
千张拌黄豆芽,拌,香辣味,10分钟,新手尝试,"['绿豆芽 400克', '胡萝卜 半根', '豆腐皮 1张']","['大葱 适量', '醋 2汤匙', '酱油 3汤匙', '白糖 1汤匙', '芝麻 适量', '辣椒油 适量', '亚麻籽油 1汤匙']"
自制潮式牛蹄筋丸,煮,咸鲜味,10分钟,初级入门,['牛肉 300克'],"['盐 5克', '鱼露 5克', '白糖 10克', '鸡精 3克', '苏打粉 2.5克', '胡椒粉 2克', '粉条 3克', '水 90克', '花生油 10克']"
家常烙饼,烙,家常味,10分钟,初级入门,"['小麦面粉 500克', '水 320克', '花生油 适量']","['盐 1勺', '大葱 适量']"
腐竹烧牛腩,烧,家常味,15分钟,新手尝试,['牛腩 300克'],"['腐竹 100克', '青椒 适量', '大葱 适量', '生姜 适量', '大蒜 适量', '八角 适量', '冰糖 一勺', '香叶 适量', '干辣椒 适量', '豆瓣酱 一勺']"
香肠炒饭便当,炒,咸鲜味,30分钟,初级入门,"['大米 1小碗', '香肠 2根', '玉米 1/2根', '豌豆 50克', '胡萝卜 1根']","['鸡蛋 1个', '秋葵 3个', '西兰花 3朵', '培根 3片', '盐 1/2茶匙', '酱油 1/2茶匙', '花生油 3汤匙', '水 适量']"
樱桃肉,炸,酸甜味,15分钟,初级入门,"['猪肉 500克', '番茄酱 半碗']","['淀粉 适量', '花生油 适量', '白糖 2勺']"
满口留香的爆炒腰花,炒,家常味,5分钟,新手尝试,['羊腰子 170克'],"['生姜 大块', '大葱 3根', '大蒜 10瓣', '干辣椒 1把', '花椒 20粒', '醋 2滴', '花生油 10毫升', '盐 适量']"
蚝油烧双茄,烧,咸鲜味,15分钟,初级入门,"['西红柿 100克', '茄子 300克']","['花生油 适量', '盐 适量', '蚝油 适量', '大葱 适量']"
开胃河虾,炒,酸甜味,5分钟,新手尝试,['河虾 400克'],"['白糖 3克', '醋 1勺', '酱油 1勺', '蚝油 1勺', '生姜 2片', '大蒜 2瓣']"
扁豆塞肉,烧,咸鲜味,10分钟,新手尝试,"['扁豆 250克', '猪肉 100克']","['花生油 20毫升', '盐 4克', '酱油 20毫升', '酱油 10毫升', '白糖 少许', '大葱 少许', '料酒 10毫升']"
【金玉满堂】南瓜盅,炒,咸鲜味,30分钟,未知,"['南瓜 1个', '虾仁 20个', '香肠 150克', '青豆 80克', '胡萝卜 50克', '西兰花 半棵']","['盐 3勺', '番茄酱 1大勺', '淀粉 1勺', '鸡精 1茶匙']"
西葫芦炒鸡蛋,炒,家常味,10分钟,未知,"['西葫芦 1个', '鸡蛋 2个']",['虾皮 少许']
九转大肠,烧,酸甜味,5分钟,新手尝试,"['猪大肠 1000克', '花生油 适量', '小麦面粉 适量']","['大葱 适量', '香叶 适量', '八角 适量', '花椒 适量', '料酒 60毫升', '醋 5毫升', '白糖 40克', '盐 10克', '胡椒粉 2克']"
老北京烧饼夹烤肉,煎,家常味,90分钟,初级入门,"['小麦面粉 120克', '水 70克', '牛肉 250克']","['苏打粉 2克', '盐 2克', '花椒 适量', '大葱 适量', '大葱 1根', '酱油 适量', '淀粉 适量']"
凉拌毛豆,拌,酸辣味,15分钟,新手尝试,"['毛豆 适量', '大蒜 适量切末', '生姜 适量切末']","['八角 2个', '香叶 3片', '干辣椒 若干切丝', '花椒 适量', '酱油 适量', '鱼肝油 适量', '白糖 适量', '胡椒粉 适量', '醋 少量', '盐 少量']"
好吃下饭的红烧鱼块，滋味十足,炖,家常味,15分钟,初级入门,"['草鱼 1条', '料酒 1罐', '小麦面粉 1小碗']","['盐 适量', '大葱 适量', '酱油 2勺', '白糖 1勺']"
香煎黄花鱼,煎,鱼香味,15分钟,中级掌勺,"['黄花鱼 1条', '大葱 半个', '青椒 1个', '西红柿 1个']","['大葱 适量', '生姜 适量', '大蒜 适量']"
玉米鱼丁,炒,家常味,15分钟,初中水平,"['鲤鱼 200克', '玉米 200克']","['花生油 10克', '盐 1克', '胡椒粉 1克', '淀粉 4克', '红椒 1个', '青椒 1个', '大葱 30克', '鸡蛋 1个']"
凉拌辣椒油金针菇,拌,香辣味,10分钟,未知,['金针菇 1把'],"['大蒜 适量', '酱油 2勺', '醋 1勺', '辣椒 适量', '盐 适量', '鸡精 适量', '香菜 适量', '亚麻籽油 适量']"
荷塘小炒,炒,家常味,15分钟,新手尝试,"['荷兰豆 适量', '莲藕 适量', '胡萝卜 适量', '黑木耳 适量', '大葱 适量', '大蒜 适量']","['花生油 适量', '盐 适量', '酱油 适量']"
蔬菜鱼饼【宝宝辅食】,烙,家常味,10分钟,新手尝试,"['鳕鱼 100克', '山药 80克', '玉米 30克', '小麦面粉 30克']","['胡萝卜 15克', '西兰花 15克', '香菇 1个', '花生油 适量', '柠檬 适量']"
红烧鸭肉,烧,咸鲜味,30分钟,未知,"['鸭肉 600克', '生姜 20克']","['花生油 20毫升', '盐 2克', '酱油 10毫升']"
泡菜汆白肉,炖,酸味,30分钟,初级入门,"['猪肉 300克', '泡菜 250克', '粉丝 1团']","['生姜 3片', '辣椒 5个', '八角 2个']"
清炒土豆丝,炒,家常味,30分钟,未知,"['土豆 2个', '辣椒 1根', '大葱 适量', '香菜 少许']","['盐 适量', '鸡精 适量', '醋 适量']"
蚂蚁上树,炒,咸鲜味,15分钟,初级入门,"['猪肉 250克', '粉丝 100克']","['大葱 1根', '料酒 1茶匙', '酱油 2茶匙', '白糖 1茶匙', '盐 少许', '胡椒粉 少许', '花生油 适量', '生姜 少许']"
霸王超市| 鱼露红烧肉,烧,家常味,30分钟,新手尝试,"['猪肉 500克', '鱼露 1勺']","['盐 1勺', '酱油 1勺', '料酒 1勺', '生姜 1块', '大蒜 1个', '冰糖 适量']"
烤箱烤蘑菇,烤,其它口味,15分钟,新手尝试,['蘑菇 若干个'],"['椒盐 适量', '胡椒粉 适量']"
南瓜盅豉香蒸排骨,蒸,家常味,90分钟,初级入门,"['南瓜 1只', '排骨 500克']","['大葱 一段', '生姜 几片', '豆豉 一勺', '蚝油 一勺', '料酒 一勺', '亚麻籽油 几滴', '酱油 两勺', '盐 少许']"
红烧排骨懒人版本，只需要一个电压力锅哟,炖,家常味,30分钟,初级入门,['排骨 400克'],"['料酒 1勺', '酱油 1勺', '蚝油 1勺', '酱油 1勺', '白糖 1勺', '生姜 少许', '大蒜 少许', '大葱 适量', '胡椒粉 少许', '香叶 1片', '芝麻 少许']"
香菇炒猪肉,炒,家常味,10分钟,新手尝试,"['猪肉 300克', '香菇 3朵', '青椒 半个']","['料酒 1大勺', '酱油 2大勺', '蚝油 1大勺', '生姜 2片', '大葱 1段', '大蒜 2瓣']"
老北京涮火锅,煮,咸鲜味,5分钟,初中水平,"['羊肉 1000克', '菠菜 1500克', '鸭血 300克', '豆腐 500克', '黑木耳 250克', '粉条 150克', '河虾 500克']","['花生酱 300克', '韭黄 100克', '腐乳 3块', '酱油 50克', '料酒 25克', '盐 10克', '辣椒油 适量', '香菜 少许', '大葱 3段', '生姜 3片', '大米 20克', '紫菜 少许', '花生油 25克', '白糖 25克']"
大葱爆猪肝,炒,家常味,10分钟,初级入门,"['猪肝 400克', '大葱 1个', '青椒 2个', '胡萝卜 半个']","['花生油 20克', '盐 2克', '酱油 1勺', '淀粉 1勺', '酱油 1/4勺', '胡椒粉 1/4勺', '生姜 1块', '大蒜 3瓣', '料酒 1勺']"
鱿鱼炒芹菜,炒,家常味,10分钟,新手尝试,"['鱿鱼 2个', '芹菜 200克', '猪肉 50克']","['花生油 10毫升', '盐 3克', '料酒 10毫升', '白糖 5克']"
毛芹黑木耳炒鸡蛋,炒,家常味,10分钟,初中水平,"['黑木耳 20克', '鸡蛋 2个', '芹菜 100克']","['花生油 适量', '盐 适量', '辣椒 30克']"
南瓜虾煲,煲,咸鲜味,15分钟,未知,"['南瓜 500克', '虾 20只']","['盐 少许', '亚麻籽油 少许', '大葱 1段', '生姜 2-3片', '大葱 1根']"
炸裂鸡翅,炸,家常味,数天,未知,"['鸡翅 1袋', '小麦面粉 2碗', '淀粉 1碗']","['盐 适量', '白糖 适量', '五香粉 适量', '花椒 适量', '蚝油 适量', '大蒜 适量']"
鲜味蕨菜炒腊肉,炒,家常味,10分钟,初中水平,"['蕨菜 500克', '腊肉 300克']","['盐 1茶匙', '大蒜 3根', '大蒜 3根', '辣椒 3个', '酱油 1茶匙']"
紫苏烧鸭,烧,酱香味,15分钟,新手尝试,"['鸭肉 500克', '土豆 1个', '紫苏 1把']","['酱油 1勺', '生姜 5片', '盐 少许']"
大葱香黑木耳鸡蛋,炒,家常味,15分钟,未知,"['黑木耳 80克', '鸡蛋 2个', '大葱 200克']","['文蛤 少许', '盐 适量']"
无油炸鸡翅,烤,香辣味,15分钟,新手尝试,['鸡翅 10个'],"['胡椒 2克', '酱油 10克', '酱油 4克', '料酒 10克', '蚝油 10克', '辣椒粉 2克', '蜂蜜 4克', '面包 适量']"
水蒸蛋,蒸,家常味,15分钟,未知,"['鸡蛋 3个', '水 适量']",['盐 少许']
大葱鸡蛋饼,煎,大葱香味,5分钟,初级入门,"['大葱 100克', '鸡蛋 5个']","['盐 4克', '鸡精 2克', '花生油 25克']"
水煮肉片,煮,麻辣味,30分钟,中级掌勺,"['猪肉 500克', '生菜 适量']","['干辣椒 1碗', '大葱 1把', '大蒜 4瓣', '豆瓣酱 1勺', '淀粉 适量', '料酒 适量', '盐 1勺', '花椒 适量', '辣椒油 适量', '酱油 1-2勺', '鸡精 半勺', '白糖 半勺', '花生油 适量']"
酱油卤肉,卤,其它口味,90分钟,新手尝试,['猪肉 800克'],"['酱油 110克', '白糖 40克', '冰糖 20克', '酱油 2茶匙', '大葱 适量', '八角 2颗']"
黄豆芽茼蒿火腿炒粉条,炒,家常味,15分钟,未知,"['黄豆芽 100克', '茼蒿 80克', '粉条 80克', '火腿 50克', '胡萝卜 30克', '大蒜 10克']","['花生油 1勺', '盐 2匙', '味精 0.2匙']"
培根烤二色饭,烤,咸鲜味,10分钟,初级入门,"['黑米 1大把', '培根 4条', '大米 1大把', '香菇 12个']","['料酒 1汤勺', '酱油 1/2汤勺', '水 适量']"
蚵仔煎,煎,咸鲜味,10分钟,新手尝试,"['牡蛎 适量', '鸡蛋 2个', '淀粉 红薯淀粉适量']","['料酒 少许', '盐 少许', '胡椒粉 少许', '大葱 少许', '花生油 适量']"
凉拌鸡爪,拌,香辣味,30分钟,新手尝试,['鸡爪 6只'],"['酱油 1大勺', '香菜 适量', '辣椒酱 2勺', '八角 少许', '芝麻 少许', '香叶 2片', '生姜 2片', '醋 1大勺', '亚麻籽油 少许']"
大蒜香花刀红烧鱼,烧,大蒜香味,30分钟,初中水平,"['鲤鱼 1条', '大葱 2根', '生姜 1块', '大蒜 8瓣', '辣椒 4个', '料酒 适量', '八角 3个', '酱油 1勺', '淀粉 3勺']","['胡椒粉 适量', '花生油 适量', '盐 适量', '白糖 适量', '醋 适量']"
电饭煲版茄汁豆腐盒,烧,酸甜味,30分钟,新手尝试,"['豆腐 600克', '猪肉 150克']","['豆瓣酱 3勺', '番茄酱 3勺', '酱油 2勺', '料酒 2勺', '盐 4克', '大葱 1段', '生姜 1块']"
豆腐皮素烧,烧,家常味,10分钟,中级掌勺,['豆腐皮 两张'],"['蚝油 一勺', '酱油 三勺', '大葱 适量', '五香粉 适量']"
5分钟早餐之吐司煎蛋,煎,家常味,5分钟,新手尝试,"['面包 4片', '鸡蛋 2个']","['火腿 80克', '西红柿 2个', '盐 少许']"
捞汁三色,拌,家常味,15分钟,未知,"['杏鲍菇 100克', '胡萝卜 60克', '青椒 40克']","['亚麻籽油 适量', '盐 适量']"
凉拌鱼腥草,拌,香辣味,10分钟,中级掌勺,"['鱼腥草 200可', '大蒜 一把', '花生 一把']","['花生油 适量', '辣椒粉 一勺', '大蒜 三颗', '酱油 两勺', '米醋 一勺', '大葱 适量', '芝麻 适量']"
豉汁猪大肠,焖,家常味,15分钟,初级入门,"['猪大肠 2斤', '大蒜 一大个', '酱油 适量']","['盐 适量', '小麦面粉 适量', '醋 适量', '料酒 适量']"
苦瓜黄豆排骨汤,煲,家常味,60分钟,新手尝试,"['排骨 1根', '黄豆 1把', '苦瓜 1根']","['盐 适量', '鸡精 少许']"
酱爆鸡丁,爆,酱香味,15分钟,初中水平,"['鸡肉 1块', '黄瓜 1根']","['辣椒 1个', '大葱 1/3根', '料酒 2勺', '淀粉 2勺', '豆瓣酱 1勺', '番茄酱 2勺', '辣椒酱 1勺', '花生油 3勺', '味精 少许']"
汉方生姜母鸭,炖,生姜味,2小时,初中水平,['鸭肉 1只'],"['熟地 10克', '当归 6克', '枸杞子 10克', '党参 10克', '桂皮 3克', '生姜 8片', '亚麻籽油 30克', '冰糖 10克']"
减肥餐～香煎鲷鱼,煎,咸鲜味,30分钟,未知,['鲷鱼 1条'],"['亚麻籽油 少许', '盐 少许', '胡椒粉 少许', '辣椒 1根']"
蜜汁叉烧肉,烤,甜味,60分钟,初级入门,"['猪肉 300克', '大葱 1棵', '生姜 30克', '蜂蜜 20克']","['蚝油 10克', '白糖 2克', '料酒 5克', '盐 适量', '蜂蜜 20克', '水 20克']"
避风塘炒虾仁,炒,咸鲜味,30分钟,初级入门,"['虾仁 400克', '大蒜 半个', '面包 150克']","['生姜 2片', '大葱 1棵', '辣椒 1个', '盐 适量']"
蒸酱鸡腿,蒸,酱香味,30分钟,中级掌勺,['鸡腿 950克'],"['生姜 适量', '桂皮 适量', '酱油 1瓶', '白糖 1勺半']"
大葱烧赛鹿筋,其它工艺,家常味,60分钟,未知,"['腐竹 150克', '大葱 适量']","['酱油 适量', '蚝油 适量', '料酒 适量', '冰糖 适量', '淀粉 适量', '大葱 适量', '亚麻籽油 适量', '水 适量']"
莴笋拌黑木耳,拌,家常味,10分钟,新手尝试,"['莴笋 300克', '黑木耳 100克']","['椒盐 1茶匙', '大蒜 3瓣', '酱油 2茶匙', '盐 1/4茶匙', '味精 1/4茶匙', '醋 2茶匙', '白糖 1茶匙', '亚麻籽油 1茶匙']"
湛江生姜鸡肉肉厨,煮,家常味,2小时,厨神级,"['鸡肉 1只', '大葱 5根', '生姜 3个', '大蒜 3个', '生姜 1块']","['酱油 10克', '亚麻籽油 10克', '盐 5克']"
水煮肉片,煮,麻辣味,15分钟,新手尝试,['猪肉 300克'],"['鸡蛋 1个', '白菜 100克', '黄豆芽 100克', '花椒 10克', '辣椒粉 20克', '豆瓣酱 30克', '淀粉 适量', '生姜 适量', '大蒜 适量', '干辣椒 20克', '大葱 适量', '料酒 适量', '蚝油 适量', '盐 适量']"
豆腐皮蒸肉卷,蒸,家常味,15分钟,中级掌勺,"['豆腐皮 两张', '猪肉 200克', '盐 适量', '五香粉 适量']","['花生油 适量', '生姜 适量', '大蒜 适量', '香菜 适量', '芝麻 适量', '大葱 适量', '酱油 3勺', '米醋 一勺', '蚝油 一勺', '辣椒 几个']"
猪肉豆腐烧冬瓜,烧,家常味,30分钟,初级入门,"['猪肉 1小碟', '豆腐 1条', '冬瓜 1块']","['大蒜 2瓣', '红椒 1个', '料酒 1勺', '酱油 1勺', '花生油 适量', '盐 适量']"
酱三文鱼,炖,家常味,30分钟,未知,['三文鱼 1个'],"['大葱 适量', '干辣椒 适量', '花生油 适量', '酱油 适量', '料酒 适量', '蚝油 适量', '盐 适量']"
香炸多春鱼,炸,家常味,15分钟,新手尝试,['多春鱼 9条'],"['鸡蛋 1个', '胡椒粉 适量', '小麦面粉 适量', '料酒 1大勺', '盐 2克', '生姜 3片']"
香菇烧鸡腿,炖,咸鲜味,60分钟,初级入门,"['鸡腿 适量', '香菇 适量', '胡萝卜 适量', '辣椒 适量']","['大葱 适量', '生姜 适量', '料酒 适量', '冰糖 适量', '大蒜 适量', '酱油 3勺', '蚝油 2勺', '酱油 1勺', '盐 适量']"
凉拌松花蛋,拌,咸鲜味,5分钟,新手尝试,['松花蛋 3个'],"['酱油 1汤匙', '醋 1/2汤匙', '白糖 2克', '芝麻 少许', '大蒜 2瓣', '大葱 2棵', '甜椒 1/4个', '花生油 2茶匙']"
鱼腥草猪肺骨头汤,煲,家常味,2小时,新手尝试,"['猪骨 600克', '猪肺 320克']","['鱼腥草 160克', '赤小豆 三把', '盐 一汤匙', '生姜 15克']"
白糖醋排骨,其它工艺,酸甜味,60分钟,新手尝试,['排骨 500克'],"['料酒 1茶匙', '酱油 2茶匙', '白糖 3茶匙', '醋 4茶匙', '水 5茶匙', '盐 适量', '大葱 适量', '生姜 适量', '花生油 适量']"
清蒸鱼,蒸,咸鲜味,30分钟,未知,['鲈鱼 1条'],"['大葱 适量', '鹌鹑蛋 适量', '花生油 适量', '鱼肝油 适量', '生姜 适量', '盐 适量', '料酒 适量', '红椒 一个', '大葱 一根', '莲藕 一块', '面条 一把', '亚麻籽油 适量']"
好吃的酱油炒饭,炒,家常味,15分钟,初中水平,"['大米 2碗', '白菜 半棵', '香肠 2根', '鸡蛋 3个']","['盐 1茶勺', '酱油 3茶勺']"
鲜菇八宝饭,焖,家常味,15分钟,初级入门,"['大米 (八宝米）300克', '杏鲍菇 250克']","['花生油 3汤匙', '盐 1茶匙', '大葱 3个', '酱油 2茶匙', '水 适量']"
茭白炒牛肉,炒,家常味,15分钟,未知,"['茭白 1根', '牛肉 1块']","['大蒜 数瓣', '生姜 少许', '胡椒 适量']"
啪啪，酥脆烤鸭,烘焙,咸鲜味,60分钟,未知,['鸭肉 一只'],"['酱油 适量', '酱油 适量', '盐 适量', '豆瓣酱 适量', '花生油 一勺', '料酒 适量']"
凉拌菠菜,拌,家常味,5分钟,新手尝试,"['菠菜 500克', '花生 80克', '豆腐干 150克']","['盐 3克', '酱油 5毫升', '鱼肝油 5毫升', '白糖 3克', '米醋 15毫升', '亚麻籽油 适量', '亚麻籽油 少量', '辣椒油 适量']"
生姜鸡,焖,咸鲜味,30分钟,未知,"['鸡肉 大半只', '胡椒 适量', '盐 适量', '蚝油 1勺', '酱油 2勺', '淀粉 适量', '生姜 爱吃的越多越好', '蘑菇 3-5朵', '生姜 几片', '大蒜 适量', '鸡精 适量']",[]
芒果牛肉粒,炒,家常味,30分钟,未知,"['牛肉 200克', '芒果 2个']","['盐 适量', '胡椒粉 适量', '酱油 1勺', '蚝油 1勺', '白糖 半勺', '黄油 1块', '花生油 适量']"
辣子鸡翅,炸,家常味,15分钟,新手尝试,['鸡翅 500克'],"['辣椒 100克', '蚝油 一勺', '酱油 两勺', '白糖 半勺', '鸡蛋 一个', '淀粉 适量', '豆瓣酱 适量']"
这样炒菠菜，好吃又好看,炒,大蒜香味,5分钟,初级入门,"['油菜 500克', '大蒜 5瓣']","['猪油 1汤匙', '盐 适量']"
微波炉蒸蛋,微波,家常味,30分钟,初级入门,"['鸡蛋 100克', '虾 10克']","['酱油 3克', '料酒 3克']"
麻辣比目鱼,烧,麻辣味,30分钟,未知,['比目鱼 1条'],"['花生油 适量', '盐 适量', '白糖 适量', '醋 适量', '酱油 适量', '大葱 适量']"
手工肉丸,煮,咸鲜味,15分钟,未知,['猪肉 300克'],"['大葱 适量', '生姜 适量', '盐 1匙', '白糖 少许', '料酒 1勺', '胡椒粉 少许', '淀粉 适量', '紫菜 一撮', '腐乳 1勺']"
金玉满堂,蒸,家常味,10分钟,新手尝试,"['米粉 100克', '小麦面粉 150克', '白糖 20克', '水 165克', '莲藕 1节', '青椒 1个', '红椒 1个', '辣椒 1个', '豆瓣酱 1小勺', '花椒 1小把']","['大蒜 三瓣', '醋 少许', '盐 少许']"
鲳鱼炖豆腐,炖,咸鲜味,30分钟,初级入门,"['鲳鱼 1条', '豆腐 200克']","['料酒 2汤匙', '酱油 2汤匙', '盐 适量', '豆瓣酱 1汤匙', '豆瓣酱 1汤匙', '生姜 5片', '大蒜 三个', '大葱 1段', '干辣椒 6个']"
龙井茶香虾,炒,咸鲜味,30分钟,初级入门,"['虾 适量', '龙井茶 少许']","['椒盐 1勺', '白糖 适量']"
豆豉排骨煲仔饭,焖,咸鲜味,30分钟,新手尝试,"['大米 206克', '排骨 300克', '香菇 100克']","['水 1罐', '生姜 5克', '酱油 1勺', '蚝油 半勺', '料酒 1勺', '豆豉 10克', '盐 2克', '白糖 3克', '胡椒粉 1克']"
干煸四季豆,干煸,咸鲜味,10分钟,中级掌勺,"['四季豆 300克', '猪肉 100克']","['干辣椒 5克', '花椒 2克', '生姜 3克', '大蒜 3克', '大葱 5克', '盐 2克', '亚麻籽油 10克', '花生油 500克']"
大蒜鸡蛋,炸,大蒜香味,90分钟,中级掌勺,"['鸡蛋 5个', '大蒜 20克']","['酱油 3克', '盐 2克']"
胡萝卜黑麦机车章鱼面包,烘焙,甜味,90分钟,初中水平,"['小麦面粉 605克', '小麦面粉 50克', '胡萝卜 1根', '香肠 4根']","['红豆 少许', '黄油 53克', '白糖 25克', '盐 10克', '奶油 5克', '胡萝卜 225毫升', '苏打粉 5克']"
酱炒酸辣莲藕丁,炒,酸辣味,15分钟,新手尝试,"['莲藕 2节', '泡椒 4个']","['豆瓣酱 一大勺', '亚麻籽油 适量', '水 少许', '大葱 少许']"
酱汁蒸烤菌菇,烤,咸鲜味,15分钟,初级入门,"['金针菇 适量', '蘑菇 适量', '蟹味菇 适量', '香菇 适量']","['猪肉 2勺', '蚝油 2勺', '亚麻籽油 少许', '椒盐 适量', '辣椒酱 1勺', '大蒜 适量', '胡椒粉 适量']"
麻辣小龙虾,炒,麻辣味,60分钟,初级入门,"['小龙虾 适量', '料酒 1罐']","['生姜 适量', '大葱 适量', '花椒 适量', '豆瓣酱 1勺', '干辣椒 适量', '香叶 适量', '八角 适量', '草果 适量', '桂皮 适量', '孜然 适量', '料酒 适量', '酱油 适量', '盐 适量', '鸡精 适量', '白糖 适量']"
