菜名,工艺,口味,时间,难度,主料,辅料
醉蟹,腌,咸鲜味,5分钟,初中水平,"['螃蟹 300克', '酒酿 100毫升']","['生姜 5克', '大蒜 5克', '葱白 一个', '辣椒 1根', '红椒 适量', '花生油 5毫升', '花椒 5克', '干辣椒 适量', '香叶 2片', '八角 2个', '醋 15克', '酱油 15克', '白糖 20克', '盐 2克', '米醋 15克']"
炒空心菜,炒,家常味,15分钟,新手尝试,['空心菜 300克'],"['大蒜 5克', '花生油 5毫升', '鸡精 2克', '盐 2克']"
麻辣虾,炸,香辣味,10分钟,初级入门,['河虾 500克'],"['淀粉 10克', '洋葱 半个', '生姜 5克', '小葱 10克', '花生油 50毫升', '花椒 5克', '干辣椒 20克', '辣椒酱 5克', '盐 2克']"
泥鳅汤,煮,家常味,30分钟,新手尝试,"['泥鳅 3条', '水 1升']","['生姜 3克', '葱白 5克', '花生油 5毫升', '料酒 5克', '盐 2克', '胡椒粉 2克']"
春笋炒鸡胗,炒,咸鲜味,30分钟,未知,"['鸡胗 6个', '春笋 半只', '胡萝卜 适量']","['花生油 20毫升', '生姜 4小片', '料酒 10克', '水 小半碗', '盐 1勺', '鸡精 一点点']"
肉丁炸酱,炒,酱香味,10分钟,初级入门,['猪肉 130克'],"['葱白 15克', '花生油 20毫升', '番茄酱 30克', '番茄酱 20克', '白糖 5克', '料酒 10克', '水 100毫升']"
爆炒鱿鱼,炒,家常味,5分钟,新手尝试,"['鱿鱼 300克', '辣椒 50克', '大蒜 10克', '生姜 10克']","['豆瓣酱 15克', '醋 5克', '料酒 10克', '盐 2克', '胡椒 2克']"
鱼香猪肉,炒,酸甜味,10分钟,新手尝试,"['猪肉 400克', '竹笋 1根']","['红萝卜 2根', '银耳 30克', '心里美萝卜 1根', '青萝卜 1根', '酱油 2勺', '淀粉 2勺', '米醋 2勺', '生姜 3片', '大蒜 2瓣', '白糖 2克']"
烂糊猪肉,煮,家常味,30分钟,新手尝试,"['圆生菜 600克', '猪肉 100克']","['猪油 30克', '淀粉 20克', '料酒 400克', '盐 适量', '料酒 15克']"
香椿炒鸡蛋,炒,家常味,10分钟,初级入门,"['香椿 150克', '鸡蛋 4个']","['盐 适量', '花生油 适量', '胡萝卜 少许']"
鸡腿蒸南瓜,蒸,咸鲜味,30分钟,新手尝试,"['鸡腿 3只', '南瓜 一块']","['生姜 2片', '大葱 适量', '料酒 3勺', '蚝油 2勺', '酱油 4勺', '盐 1勺', '白糖 1勺', '胡椒粉 适量', '迷迭香 一根', '干辣椒 一根']"
小牛面包,蒸,家常味,15分钟,初级入门,"['小麦面粉 500克', '黄瓜 150毫升']","['盐 1克', '白糖 2克', '苏打粉 6克']"
土豆炖豌豆,炖,咸鲜味,30分钟,新手尝试,"['土豆 300克', '豌豆 100克']","['葱白 5克', '生姜 5克', '八角 1个', '辣椒 1个', '五香粉 1克', '酱油 3克', '水 300毫升', '盐 2克']"
红烧黄花鱼,烧,家常味,30分钟,新手尝试,['黄花鱼 1条'],"['大葱 适量', '小葱 适量', '生姜 适量', '酱油 适量', '酱油 适量', '料酒 适量', '水 适量']"
毛血旺,煮,香辣味,15分钟,初中水平,"['鸭血 600克', '猪大肠 1根', '牛肚 500克', '粉条 100克', '黄豆芽 500克']","['料酒 150克', '盐 适量', '花椒 少许', '大蒜 5瓣', '芝麻油 适量', '白糖 半匙', '酱油 少许', '葱白 少许', '生姜 少许', '料酒 5匙']"
榨菜烧肉,炖,咸鲜味,90分钟,初级入门,"['猪肉 500克', '榨菜 1小碗']","['生姜 3-4片', '大蒜 3瓣', '小葱 2根', '花椒 1小撮', '八角 2个', '草果 1个', '桂皮 1小块', '香叶 2片', '干辣椒 几个', '盐 适量', '料酒 1汤匙', '酱油 1汤匙', '酱油 2汤匙', '冰糖 适量', '水 适量']"
干锅菜花,煮,香辣味,15分钟,初中水平,"['菜花 400克', '辣椒 几个', '猪肉 100克', '大蒜 3根']","['豆瓣酱 1大勺', '大蒜 3瓣', '生姜 3片', '花椒 几粒', '白糖 少许', '花生油 适量']"
和风大学芋,炸,甜味,15分钟,初级入门,['红薯 400克'],"['白糖 4汤匙', '水 2汤匙', '酱油 1茶匙', '醋 1茶匙', '芝麻 适量', '花生油 适量']"
猪肉烧萝卜,烧,家常味,10分钟,新手尝试,"['白萝卜 700克', '猪肉 100克']","['酱油 1茶匙', '蚝油 2茶匙', '白糖 少许', '盐 适量', '葱白 适量', '生姜 适量', '干辣椒 5个']"
洋葱炒蛋,炒,咸鲜味,15分钟,未知,"['洋葱 1/2个', '鸡蛋 2个']","['红椒 1/2个', '猪油 几滴', '青椒 1个', '淀粉 1匙', '芝麻油 1.5勺', '酱油 1勺', '料酒 1勺', '盐 1/2匙', '上海青 1/2匙', '白糖 1/2匙']"
无水葱白花生油鸡,焖,葱白香味,60分钟,未知,"['田鸡 1.35k克', '小葱 适量', '生姜 适量', '香菜 适量', '辣椒 1-2个']","['盐 适量', '胡椒 适量', '料酒 适量']"
